<<<<<<< HEAD
Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Mehdi Abdesmad,DE,Boston Col.,College Stats,6-6,284,5.10,29.5,25,108,7.55,4.62,
Vernon Adams,QB,Oregon,College Stats,5-11,200,4.83,29.5,,114,6.82,4.20,
Jerell Adams\AdamJe01,TE,South Carolina,College Stats,6-5,247,4.64,32.5,,117,7.05,4.31,New York Giants / 6th / 184th pick / 2016
Bralon Addison\AddiBr01,WR,Oregon,College Stats,5-9,197,4.66,34.5,13,116,6.95,4.14,
Roberto Aguayo\AguaRo00,K,Florida State,College Stats,6-0,207,4.96,,,,,,Tampa Bay Buccaneers / 2nd / 59th pick / 2016
Mackensie Alexander\AlexMa01,CB,Clemson,College Stats,5-10,190,4.43,,11,,,,Minnesota Vikings / 2nd / 54th pick / 2016
Dominique Alexander\AlexDo00,ILB,Oklahoma,College Stats,6-0,232,4.64,28.5,17,104,,,
Vadal Alexander\AlexVa00,OT,LSU,College Stats,6-5,326,5.57,24.0,25,95,8.04,4.90,Oakland Raiders / 7th / 234th pick / 2016
Brandon Allen\AlleBr00,QB,Arkansas,College Stats,6-1,217,4.84,28.0,,110,7.06,4.33,Jacksonville Jaguars / 6th / 201st pick / 2016
Jack Allen\AlleJa03,C,Michigan State,College Stats,6-1,294,5.29,26.5,23,101,7.90,4.73,
Geronimo Allison\AlliGe01,WR,Illinois,College Stats,6-3,196,4.67,33.0,,127,7.40,4.28,
Stephen Anderson,TE,California,College Stats,6-2,230,4.59,38.0,16,119,,,
Eli Apple\ApplEl00,CB,Ohio State,College Stats,6-1,199,4.40,,13,,,,New York Giants / 1st / 10th pick / 2016
Demarcus Ayers\AyerDe00,WR,Houston,College Stats,5-9,182,4.72,33.0,,123,,,Pittsburgh Steelers / 7th / 229th pick / 2016
Sterling Bailey,DE,Georgia,College Stats,6-4,285,5.23,30.0,20,111,7.46,4.73,
Peyton Barber\BarbPe01,RB,Auburn,College Stats,5-10,228,4.64,32.5,20,111,7.00,4.21,
Jimmy Bean\BeanJi01,DE,Oklahoma State,College Stats,6-5,264,4.87,,20,,,,
Willie Beavers\BeavWi00,OT,West. Michigan,College Stats,6-5,321,5.28,25.5,20,103,7.96,4.71,Minnesota Vikings / 4th / 121st pick / 2016
Vonn Bell\BellVo00,FS,Ohio State,College Stats,5-11,199,4.52,,16,,,,New Orleans Saints / 2nd / 61st pick / 2016
Caleb Benenoch\BeneCa00,OT,UCLA,College Stats,6-5,311,4.98,28.0,,104,8.15,5.11,Tampa Bay Buccaneers / 5th / 148th pick / 2016
Andrew Billings\BillAn00,DT,Baylor,College Stats,6-1,311,5.05,27.5,31,113,8.05,4.82,Cincinnati Bengals / 4th / 122nd pick / 2016
Ronald Blair\BlaiRo00,DE,Appalachian State,College Stats,6-2,284,5.15,30.0,32,113,7.95,4.53,San Francisco 49ers / 5th / 142nd pick / 2016
Austin Blythe\BlytAu00,C,Iowa,College Stats,6-2,298,5.36,27.5,29,99,7.52,4.53,Indianapolis Colts / 7th / 248th pick / 2016
Briean Boddy-Calhoun\BoddBr00,CB,Minnesota,College Stats,5-9,193,4.47,35.0,10,123,7.16,4.22,
Evan Boehm\BoehEv00,C,Missouri,College Stats,6-2,302,5.33,28.5,24,96,7.52,4.69,Arizona Cardinals / 4th / 128th pick / 2016
Devante Bond\BondDe00,OLB,Oklahoma,College Stats,6-1,235,4.70,37.5,21,121,7.07,4.36,Tampa Bay Buccaneers / 6th / 183rd pick / 2016
Devontae Booker\BookDe00,RB,Utah,College Stats,5-11,219,4.56,,22,,,,Denver Broncos / 4th / 136th pick / 2016
Joey Bosa\BosaJo00,DE,Ohio State,College Stats,6-5,269,4.86,32.0,24,120,6.89,4.21,San Diego Chargers / 1st / 3rd pick / 2016
Tyler Boyd\BoydTy00,WR,Pittsburgh,College Stats,6-1,197,4.58,34.0,11,119,6.90,4.35,Cincinnati Bengals / 2nd / 55th pick / 2016
Trevone Boykin,QB,TCU,College Stats,6-0,212,4.77,32.0,,110,,4.40,
James Bradberry\BradJa00,CB,Samford,,6-1,211,4.50,36.0,16,124,6.91,4.21,Carolina Panthers / 2nd / 62nd pick / 2016
Ben Braunecker,TE,Harvard,,6-3,250,4.73,35.5,20,121,6.90,4.20,
Jake Brendel\BrenJa01,C,UCLA,College Stats,6-3,303,5.01,28.0,25,108,7.31,4.27,
Jacoby Brissett\BrisJa00,QB,North Carolina State,College Stats,6-4,231,4.94,31.0,,113,7.17,4.53,New England Patriots / 3rd / 91st pick / 2016
Kentrell Brothers\BrotKe00,OLB,Missouri,College Stats,6-0,245,4.89,28.5,19,110,6.99,4.11,Minnesota Vikings / 5th / 160th pick / 2016
Chris Brown\BrowCh07,WR,Notre Dame,College Stats,6-2,194,4.48,,,,,,
Beniquez Brown\BrowBe00,OLB,Mississippi State,College Stats,6-1,229,4.77,31.0,18,110,7.07,4.28,
Anthony Brown\BrowAn02,CB,Purdue,College Stats,5-11,192,4.33,35.0,19,115,7.03,4.19,Dallas Cowboys / 6th / 189th pick / 2016
Lamarcus Brutus\BrutLa00,SS,Florida State,College Stats,6-0,206,4.76,33.0,14,114,7.08,4.33,
Deforest Buckner\BuckDe00,DE,Oregon,College Stats,6-7,291,5.05,32.0,,116,7.51,4.47,San Francisco 49ers / 1st / 7th pick / 2016
Jonathan Bullard\BullJo00,DE,Florida,College Stats,6-3,285,4.93,32.0,23,116,7.31,4.56,Chicago Bears / 3rd / 72nd pick / 2016
Aaron Burbridge\BurbAa00,WR,Michigan State,College Stats,6-0,206,4.56,30.5,20,115,7.22,4.31,San Francisco 49ers / 6th / 213th pick / 2016
Artie Burns\BurnAr00,CB,Miami (FL),College Stats,6-0,193,4.46,31.5,,,,,Pittsburgh Steelers / 1st / 25th pick / 2016
Juston Burris\BurrJu00,CB,North Carolina State,College Stats,6-0,212,4.53,36.5,19,122,7.10,4.40,New York Jets / 4th / 118th pick / 2016
Deon Bush\BushDe00,FS,Miami (FL),College Stats,6-0,199,4.64,36.0,17,123,,,Chicago Bears / 4th / 124th pick / 2016
Vernon Butler\ButlVe00,DT,Louisiana Tech,College Stats,6-4,323,5.33,29.5,26,104,7.82,4.76,Carolina Panthers / 1st / 30th pick / 2016
Devon Cajuste\CajuDe01,WR,Stanford,College Stats,6-4,234,4.62,36.0,12,123,6.49,4.20,
Taveze Calhoun\CalhTa01,CB,Mississippi State,College Stats,6-0,192,4.58,33.5,14,,,,
Shilique Calhoun\CalhSh00,DE,Michigan State,College Stats,6-4,251,4.82,35.0,23,115,6.97,4.25,Oakland Raiders / 3rd / 75th pick / 2016
De'Vondre Campbell\CampDe00,OLB,Minnesota,College Stats,6-4,232,4.58,34.0,16,116,,,Atlanta Falcons / 4th / 115th pick / 2016
Maurice Canady\CanaMa00,CB,Virginia,College Stats,6-1,193,4.49,38.0,16,124,7.03,4.09,Baltimore Ravens / 6th / 209th pick / 2016
Leonte Carroo\CarrLe00,WR,Rutgers,College Stats,6-0,211,4.50,35.5,14,120,,,Miami Dolphins / 3rd / 86th pick / 2016
Tra Carson\CarsTr01,RB,Texas A&M,College Stats,5-11,227,4.63,,19,,,,
Tevin Carter\CartTe00,SS,Utah,College Stats,6-1,218,4.48,,19,,,,
Jeremy Cash\CashJe00,SS,Duke,College Stats,6-0,212,4.56,,,,,,
Joseph Cheek,OG,Texas A&M,College Stats,6-6,295,5.27,,20,,,,
Le'Raven Clark\ClarLe01,OT,Texas Tech,College Stats,6-5,316,5.16,,18,,,,Indianapolis Colts / 3rd / 82nd pick / 2016
Kenny Clark\ClarKe01,DT,UCLA,College Stats,6-3,314,5.06,28.5,29,102,,4.62,Green Bay Packers / 1st / 27th pick / 2016
Shon Coleman\ColeSh00,OT,Auburn,College Stats,6-5,307,5.18,,22,,,,Cleveland Browns / 3rd / 76th pick / 2016
Corey Coleman\ColeCo00,WR,Baylor,College Stats,5-11,194,4.42,40.5,17,129,,,Cleveland Browns / 1st / 15th pick / 2016
Maliek Collins\CollMa00,DT,Nebraska,College Stats,6-2,311,5.03,29.5,25,109,7.53,4.52,Dallas Cowboys / 3rd / 67th pick / 2016
Alex Collins\CollAl00,RB,Arkansas,College Stats,5-10,217,4.59,28.5,18,113,,,Seattle Seahawks / 5th / 171st pick / 2016
Jack Conklin\ConkJa00,OT,Michigan State,College Stats,6-6,308,5.00,30.0,25,103,7.63,4.57,Tennessee Titans / 1st / 8th pick / 2016
Connor Cook\CookCo00,QB,Michigan State,College Stats,6-4,217,4.79,33.0,,113,7.21,4.28,Oakland Raiders / 4th / 100th pick / 2016
Pharoh Cooper\CoopPh00,WR,South Carolina,College Stats,5-11,203,4.52,31.0,15,115,,,Los Angeles Rams / 4th / 117th pick / 2016
Fahn Cooper\CoopFa00,OT,Mississippi,College Stats,6-4,303,5.17,25.0,19,102,7.85,4.89,San Francisco 49ers / 5th / 174th pick / 2016
Marshaun Coprich,RB,Illinois State,,5-8,207,4.47,34.0,17,112,7.26,4.58,
Cody Core\CoreCo00,WR,Mississippi,College Stats,6-3,205,4.47,31.5,14,119,,,Cincinnati Bengals / 6th / 199th pick / 2016
Kamalei Correa\CorrKa00,DE,Boise State,College Stats,6-3,243,4.69,33.0,21,108,,,Baltimore Ravens / 2nd / 42nd pick / 2016
James Cowser,DE,Southern Utah,,6-3,248,4.82,31.5,21,111,6.80,4.31,
Brad Craddock\CradBr00,K,Maryland,College Stats,6-0,186,4.88,,,,,,
Su'A Cravens\CravSu00,OLB,USC,College Stats,6-1,226,4.58,27.0,16,114,,,Washington Redskins / 2nd / 53rd pick / 2016
Ken Crawley\CrawKe01,CB,Colorado,College Stats,6-0,187,4.43,36.5,,119,,,
Joe Dahl\DahlJo00,OT,Washington State,College Stats,6-4,304,5.18,31.0,28,109,7.64,4.77,Detroit Lions / 5th / 151st pick / 2016
Steven Daniels\DaniSt00,ILB,Boston Col.,College Stats,5-11,243,4.86,32.0,16,112,7.33,4.54,Washington Redskins / 7th / 232nd pick / 2016
Sean Davis\DaviSe00,CB,Maryland,College Stats,6-1,201,4.46,37.5,21,126,6.64,3.97,Pittsburgh Steelers / 2nd / 58th pick / 2016
Trevor Davis\DaviTr03,WR,California,College Stats,6-1,188,4.42,38.5,11,124,6.60,4.22,Green Bay Packers / 5th / 163rd pick / 2016
Sheldon Day\DayxSh00,DT,Notre Dame,College Stats,6-1,293,5.07,30.0,21,102,7.44,4.50,Jacksonville Jaguars / 4th / 103rd pick / 2016
Taylor Decker\DeckTa00,OT,Ohio State,College Stats,6-7,310,5.23,29.0,20,101,7.70,4.76,Detroit Lions / 1st / 16th pick / 2016
KJ Dillon\DillK.00,SS,West Virginia,College Stats,6-0,210,4.53,,11,121,,,Houston Texans / 5th / 159th pick / 2016
Kenneth Dixon\DixoKe00,RB,Louisiana Tech,College Stats,5-10,215,4.56,37.5,18,121,6.97,4.28,Baltimore Ravens / 4th / 134th pick / 2016
Riley Dixon\DixoRi00,P,Syracuse,College Stats,6-4,221,5.04,,,,,,Denver Broncos / 7th / 228th pick / 2016
Josh Doctson\DoctJo00,WR,TCU,College Stats,6-2,202,4.50,41.0,14,131,6.84,4.08,Washington Redskins / 1st / 22nd pick / 2016
Kevin Dodd\DoddKe00,DE,Clemson,College Stats,6-5,277,4.86,,,,,,Tennessee Titans / 2nd / 33rd pick / 2016
Brandon Doughty\DougBr00,QB,Western Kentucky,College Stats,6-3,213,5.22,27.0,,103,7.49,4.52,Miami Dolphins / 7th / 223rd pick / 2016
Kenyan Drake\DrakKe00,RB,Alabama,College Stats,6-1,210,4.45,34.5,10,123,7.04,4.21,Miami Dolphins / 3rd / 73rd pick / 2016
Spencer Drango\DranSp00,OT,Baylor,College Stats,6-6,315,5.27,27.0,30,100,7.88,4.66,Cleveland Browns / 5th / 168th pick / 2016
Jeff Driskel\DrisJe00,QB,Louisiana Tech,College Stats,6-4,234,4.56,32.0,,122,7.19,4.25,San Francisco 49ers / 6th / 207th pick / 2016
Thomas Duarte\DuarTh00,TE,UCLA,College Stats,6-2,231,4.72,33.5,12,118,6.97,4.24,Miami Dolphins / 7th / 231st pick / 2016
Lachlan Edwards,P,Sam Houston State,,6-4,209,4.98,,,,,,
Parker Ehinger\EhinPa00,OT,Cincinnati,College Stats,6-6,310,5.26,27.5,,97,,,Kansas City Chiefs / 4th / 105th pick / 2016
Deandre Elliott,CB,Colorado State,College Stats,6-1,188,4.55,41.0,,125,6.93,3.94,
Ezekiel Elliott\ElliEz00,RB,Ohio State,College Stats,6-0,225,4.47,32.5,,118,,,Dallas Cowboys / 1st / 4th pick / 2016
Tyler Ervin\ErviTy00,RB,San Jose State,College Stats,5-10,192,4.41,39.0,17,130,,,Houston Texans / 4th / 119th pick / 2016
Kyler Fackrell\FackKy00,OLB,Utah State,College Stats,6-5,245,4.72,34.5,15,121,,,Green Bay Packers / 3rd / 88th pick / 2016
Ka'Imi Fairbairn\FairKa01,K,UCLA,College Stats,5-11,183,4.96,,,,,,
Jason Fanaika\FanaJa01,DE,Utah,College Stats,6-2,271,4.92,35.5,23,113,7.06,4.39,
Travis Feeney\FeenTr00,OLB,Washington,College Stats,6-4,230,4.50,40.0,,130,7.20,4.42,Pittsburgh Steelers / 6th / 220th pick / 2016
Josh Ferguson\FergJo02,RB,Illinois,College Stats,5-9,198,4.48,34.5,21,120,,,
Leonard Floyd\FloyLe00,OLB,Georgia,College Stats,6-6,244,4.60,39.5,,127,,,Chicago Bears / 1st / 9th pick / 2016
Josh Forrest\ForrJo00,ILB,Kentucky,College Stats,6-3,249,4.91,30.5,11,118,,,Los Angeles Rams / 6th / 190th pick / 2016
D.J. Foster\FostD.01,WR,Arizona State,College Stats,5-10,193,4.57,35.5,14,117,6.75,4.07,
Kavon Frazier\FrazKa00,FS,Central Michigan,College Stats,6-0,217,4.53,,18,,,,Dallas Cowboys / 6th / 212th pick / 2016
Kris Frost\FrosKr00,OLB,Auburn,College Stats,6-2,240,4.97,29.0,,113,,,
Kendall Fuller\FullKe00,CB,Virginia Tech,College Stats,5-11,187,4.48,,15,,,,Washington Redskins / 3rd / 84th pick / 2016
Will Fuller\FullWi01,WR,Notre Dame,College Stats,6-0,186,4.32,33.5,10,126,6.93,4.27,Houston Texans / 1st / 21st pick / 2016
Joshua Garnett\GarnJo00,OG,Stanford,College Stats,6-4,312,5.32,29.0,30,99,7.62,4.64,San Francisco 49ers / 1st / 28th pick / 2016
Keyarris Garrett\GarrKe01,WR,Tulsa,College Stats,6-3,220,4.53,36.5,14,128,7.30,4.33,
Graham Glasgow\GlasGr00,C,Michigan,College Stats,6-6,307,5.13,25.0,23,106,7.63,4.63,Detroit Lions / 3rd / 95th pick / 2016
Jared Goff\GoffJa00,QB,California,College Stats,6-4,215,4.82,27.0,,110,7.17,4.47,Los Angeles Rams / 1st / 1st pick / 2016
B.J. Goodson\GoodB.00,OLB,Clemson,College Stats,6-1,242,4.69,34.5,30,118,7.05,4.51,New York Giants / 4th / 109th pick / 2016
Adam Gotsis\GotsAd00,DT,Georgia Tech,College Stats,6-4,287,4.88,,,,,,Denver Broncos / 2nd / 63rd pick / 2016
T.J. Green\GreeT.00,FS,Clemson,College Stats,6-2,209,4.34,35.5,13,129,,,Indianapolis Colts / 2nd / 57th pick / 2016
Darrell Greene\GreeDa02,OG,San Diego State,College Stats,6-3,321,5.20,21.5,28,98,8.07,4.98,
David Grinnage,TE,North Carolina State,College Stats,6-5,248,4.90,29.5,,106,,,
Glenn Gronkowski\GronGl01,FB,Kansas State,College Stats,6-2,239,4.71,33.0,17,120,7.10,4.45,
Christian Hackenberg\HackCh01,QB,Penn State,College Stats,6-4,223,4.78,31.0,,114,7.04,4.33,New York Jets / 2nd / 51st pick / 2016
Tom Hackett\HackTo00,P,Utah,College Stats,5-10,198,4.86,,,,,,
Joe Haeg\HaegJo00,OT,North Dakota State,,6-6,304,5.16,27.5,,111,7.47,4.47,Indianapolis Colts / 5th / 155th pick / 2016
Deiondre Hall,CB,Northern Iowa,,6-2,199,4.68,37.0,,127,7.07,4.06,
Javon Hargrave\HargJa00,DT,South Carolina State,,6-1,309,4.93,34.5,29,109,7.90,4.70,Pittsburgh Steelers / 3rd / 89th pick / 2016
De'Vante Harris,CB,Texas A&M,College Stats,5-11,176,4.56,38.5,,124,6.82,4.06,
Jerald Hawkins\HawkJe00,OT,LSU,College Stats,6-6,305,5.23,23.5,23,100,8.19,4.89,Pittsburgh Steelers / 4th / 123rd pick / 2016
Joel Heath\HeatJo00,DT,Michigan State,College Stats,6-5,293,5.02,33.0,26,113,7.44,4.52,
Temarrick Hemingway\HemiTe00,TE,South Carolina State,,6-5,244,4.71,30.5,18,115,6.88,4.31,Los Angeles Rams / 6th / 177th pick / 2016
Hunter Henry\HenrHu00,TE,Arkansas,College Stats,6-5,250,4.79,,13,,,,San Diego Chargers / 2nd / 35th pick / 2016
Willie Henry\HenrWi00,DT,Michigan,College Stats,6-3,303,5.00,30.5,28,110,7.57,4.53,Baltimore Ravens / 4th / 132nd pick / 2016
Derrick Henry\HenrDe00,RB,Alabama,College Stats,6-3,247,4.54,37.0,22,130,7.20,4.38,Tennessee Titans / 2nd / 45th pick / 2016
