<<<<<<< HEAD
Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Quayvon Hicks\HickQu01,FB,Georgia,College Stats,6-1,259,4.82,,,,,,
Tyler Higbee\HigbTy00,TE,Western Kentucky,College Stats,6-6,249,4.77,,,,,,Los Angeles Rams / 4th / 110th pick / 2016
Rashard Higgins\HiggRa00,WR,Colorado State,College Stats,6-1,196,4.64,32.0,13,116,,,Cleveland Browns / 5th / 172nd pick / 2016
Kevin Hogan\HogaKe00,QB,Stanford,College Stats,6-3,218,4.78,32.5,,113,6.90,4.31,Kansas City Chiefs / 5th / 162nd pick / 2016
Johnny Holton,WR,Cincinnati,College Stats,6-1,190,4.54,31.5,8,123,,,
Austin Hooper\HoopAu00,TE,Stanford,College Stats,6-4,254,4.72,33.0,19,117,7.00,4.32,Atlanta Falcons / 3rd / 81st pick / 2016
Deandre Houston-Carson\HousDe00,FS,William & Mary,,6-1,201,4.54,32.5,13,115,7.15,4.28,Chicago Bears / 6th / 185th pick / 2016
Xavien Howard\HowaXa00,CB,Baylor,College Stats,6-0,201,4.58,33.0,11,122,7.18,4.15,Miami Dolphins / 2nd / 38th pick / 2016
Jordan Howard\HowaJo00,RB,Indiana,College Stats,6-0,230,4.57,34.0,16,122,,,Chicago Bears / 5th / 150th pick / 2016
Germain Ifedi\IfedGe00,OT,Texas A&M,College Stats,6-6,324,5.27,32.5,24,109,,4.75,Seattle Seahawks / 1st / 31st pick / 2016
Scooby Wright III\WrigSc00,ILB,Arizona,College Stats,6-0,239,4.90,31.0,22,113,,4.47,Cleveland Browns / 7th / 250th pick / 2016
Cleveland Wallace III,CB,San Jose State,,5-11,188,4.68,35.5,,123,,,
William Jackson III\JackWi02,CB,Houston,College Stats,6-0,189,4.37,,10,116,,,Cincinnati Bengals / 1st / 24th pick / 2016
Vernon Hargreaves III\HargVe00,CB,Florida,College Stats,5-10,204,4.50,39.0,15,130,,3.98,Tampa Bay Buccaneers / 1st / 11th pick / 2016
Matt Ioannidis\IoanMa01,DT,Temple,College Stats,6-3,299,5.03,28.0,32,108,7.78,4.71,Washington Redskins / 5th / 152nd pick / 2016
Myles Jack\JackMy00,OLB,UCLA,College Stats,6-1,245,4.56,,19,,,,Jacksonville Jaguars / 2nd / 36th pick / 2016
Branden Jackson\JackBr04,DE,Texas Tech,College Stats,6-4,273,5.06,31.5,20,113,7.40,4.77,
Dominick Jackson\JackDo00,OT,Alabama,College Stats,6-5,313,5.38,26.0,20,97,,,
Andy Janovich\JanoAn00,FB,Nebraska,College Stats,6-1,238,4.81,34.0,30,119,7.28,4.32,Denver Broncos / 6th / 176th pick / 2016
Quinton Jefferson\JeffQu00,DT,Maryland,College Stats,6-4,291,4.95,29.0,24,,7.95,4.37,Seattle Seahawks / 5th / 147th pick / 2016
Jordan Jenkins\JenkJo01,OLB,Georgia,College Stats,6-3,259,4.80,36.5,16,121,,,New York Jets / 3rd / 83rd pick / 2016
Devon Johnson\JohnDe05,RB,Marshall,College Stats,6-0,238,4.64,,,,,,
Austin Johnson\JohnAu01,DT,Penn State,College Stats,6-4,314,5.32,26.0,25,96,7.84,4.75,Tennessee Titans / 2nd / 43rd pick / 2016
C.J. Johnson\JohnC.00,ILB,Mississippi,College Stats,6-1,234,4.81,,,,,4.52,
Tyler Johnstone\JohnTy01,OT,Oregon,College Stats,6-5,301,5.21,30.5,24,104,7.31,4.60,
Cardale Jones\JoneCa01,QB,Ohio State,College Stats,6-5,253,4.81,36.0,,,,,Buffalo Bills / 4th / 139th pick / 2016
Cayleb Jones\JoneCa02,WR,Arizona,College Stats,6-3,209,4.65,33.5,9,,6.99,4.14,
Chris Jones\JoneCh09,DT,Mississippi State,College Stats,6-6,310,5.03,24.5,26,106,7.44,4.62,Kansas City Chiefs / 2nd / 37th pick / 2016
Cyrus Jones\JoneCy00,CB,Alabama,College Stats,5-10,197,4.49,33.0,10,116,6.71,4.21,New England Patriots / 2nd / 60th pick / 2016
Deion Jones\JoneDe01,OLB,LSU,College Stats,6-1,222,4.59,33.0,,120,,,Atlanta Falcons / 2nd / 52nd pick / 2016
Jonathan Jones\JoneJo02,CB,Auburn,College Stats,5-9,186,4.33,36.0,19,123,7.25,4.25,
Karl Joseph\JoseKa00,SS,West Virginia,College Stats,5-10,205,4.57,,,,,,Oakland Raiders / 1st / 14th pick / 2016
Matt Judon\JudoMa00,DE,Grand Valley State,,6-3,275,4.73,35.0,30,109,7.67,4.52,Baltimore Ravens / 5th / 146th pick / 2016
Ufomba Kamalu,DE,Miami (FL),College Stats,6-5,295,5.01,25.0,26,106,7.32,4.58,
Drew Kaser\KaseDr00,P,Texas A&M,College Stats,6-2,212,4.95,,,,,,San Diego Chargers / 6th / 179th pick / 2016
Nila Kasitati\KasiNi01,OG,Oklahoma,College Stats,6-3,317,5.32,27.5,12,107,8.30,4.83,
Bronson Kaufusi\KaufBr01,DE,BYU,College Stats,6-6,285,4.87,30.0,25,111,7.03,4.25,Baltimore Ravens / 3rd / 70th pick / 2016
Jayron Kearse\KearJa00,SS,Clemson,College Stats,6-4,216,4.62,31.5,16,124,7.06,,Minnesota Vikings / 7th / 244th pick / 2016
Ryan Kelly\KellRy00,C,Alabama,College Stats,6-4,311,5.03,30.0,26,103,7.58,4.59,Indianapolis Colts / 1st / 18th pick / 2016
Cody Kessler\KessCo00,QB,USC,College Stats,6-1,220,4.89,29.5,,104,7.32,4.00,Cleveland Browns / 3rd / 93rd pick / 2016
Miles Killebrew\KillMi00,SS,Southern Utah,,6-2,217,4.65,38.0,22,127,6.93,4.18,Detroit Lions / 4th / 111th pick / 2016
Derrick Kindred\KindDe00,FS,TCU,College Stats,5-10,207,4.50,37.5,,123,7.05,4.29,Cleveland Browns / 4th / 129th pick / 2016
Raphael Kirby,ILB,Miami (FL),College Stats,6-0,236,4.72,,27,,,,
Denver Kirkland\KirkDe00,OT,Arkansas,College Stats,6-4,335,5.55,22.5,19,94,8.72,5.06,
Marshall Koehn,K,Iowa,College Stats,6-1,197,4.61,,,,,,
Nick Kwiatkoski\KwiaNi00,ILB,West Virginia,College Stats,6-2,243,4.73,32.0,19,120,7.16,4.22,Chicago Bears / 4th / 113th pick / 2016
Jimmy Landes\LandJi00,LS,Baylor,College Stats,6-1,240,4.95,27.5,,110,7.05,4.38,Detroit Lions / 6th / 210th pick / 2016
Daniel Lasco\LascDa00,RB,California,College Stats,6-0,209,4.46,41.5,23,135,7.22,4.26,New Orleans Saints / 7th / 237th pick / 2016
Darius Latham\LathDa01,DT,Indiana,College Stats,6-4,311,5.32,29.0,,100,7.76,4.63,
Kenny Lawler\LawlKe00,WR,California,College Stats,6-2,203,4.64,31.0,,111,7.13,4.20,Seattle Seahawks / 7th / 243rd pick / 2016
Nile Lawrence-Stample\LawrNi01,NT,Florida State,College Stats,6-1,320,5.24,,,,,,
Shaq Lawson\LawsSh00,DE,Clemson,College Stats,6-3,269,4.70,33.0,,120,7.16,4.21,Buffalo Bills / 1st / 19th pick / 2016
Darron Lee\LeexDa00,OLB,Ohio State,College Stats,6-1,232,4.47,35.5,17,133,7.12,4.20,New York Jets / 1st / 20th pick / 2016
Alex Lewis\LewiAl01,OT,Nebraska,College Stats,6-6,312,5.22,29.5,27,100,7.94,4.72,Baltimore Ravens / 4th / 130th pick / 2016
Roger Lewis,WR,Bowling Green,College Stats,6-0,201,4.57,33.5,8,116,,,
Kolby Listenbee\ListKo00,WR,TCU,College Stats,6-0,197,4.39,35.5,15,129,,,Buffalo Bills / 6th / 192nd pick / 2016
Cory Littleton\LittCo00,OLB,Washington,College Stats,6-3,238,4.73,29.5,,114,7.11,4.32,
Jordan Lomax\LomaJo00,FS,Iowa,College Stats,5-10,202,4.75,36.0,8,120,7.18,4.15,
Steve Longa\LongSt00,ILB,Rutgers,College Stats,6-1,241,4.78,32.0,19,116,7.50,4.56,
Ricardo Louis\LouiRi00,WR,Auburn,College Stats,6-2,215,4.43,38.0,18,132,,,Cleveland Browns / 4th / 114th pick / 2016
Dean Lowry\LowrDe00,DE,Northwestern,College Stats,6-6,296,4.87,32.5,30,114,7.26,4.38,Green Bay Packers / 4th / 137th pick / 2016
Jordan Lucas\LucaJo00,SS,Penn State,College Stats,6-0,201,4.54,,,,,,Miami Dolphins / 6th / 204th pick / 2016
John Lunsford,K,Liberty,,6-1,214,4.74,,,,,,
Paxton Lynch\LyncPa00,QB,Memphis,College Stats,6-7,244,4.86,36.0,,118,7.14,4.26,Denver Broncos / 1st / 26th pick / 2016
Tre Madden\MaddTr01,RB,USC,College Stats,6-0,223,4.53,,24,,,,
Luther Maddy\MaddLu00,DT,Virginia Tech,College Stats,6-0,287,4.96,,29,,,,
Curt Maggitt\MaggCu00,OLB,Tennessee,College Stats,6-3,247,4.73,,,,,,
Ryan Malleck\MallRy02,TE,Virginia Tech,College Stats,6-4,247,4.77,34.5,18,121,7.00,4.33,
Byron Marshall\MarsBy01,WR,Oregon,College Stats,5-9,201,4.42,,17,,,,
Jalin Marshall\MarsJa01,WR,Ohio State,College Stats,5-10,200,4.60,37.5,16,125,6.80,4.13,
Keith Marshall\MarsKe00,RB,Georgia,College Stats,5-11,219,4.31,30.5,25,,,,Washington Redskins / 7th / 242nd pick / 2016
Nick Martin\MartNi00,C,Notre Dame,College Stats,6-4,299,5.22,28.0,28,97,7.57,4.72,Houston Texans / 2nd / 50th pick / 2016
Blake Martinez\MartBl01,ILB,Stanford,College Stats,6-2,237,4.71,28.5,22,113,6.98,4.20,Green Bay Packers / 4th / 131st pick / 2016
Tyler Marz\MarzTy01,OT,Wisconsin,College Stats,6-7,316,5.54,27.5,19,99,8.38,4.97,
Tyler Matakevich\MataTy00,OLB,Temple,College Stats,6-0,238,4.81,31.0,22,112,7.19,4.50,Pittsburgh Steelers / 7th / 246th pick / 2016
Chris Mayes,NT,Georgia,College Stats,6-3,338,5.34,23.5,33,104,,5.13,
Alex McCalister\McCaAl00,DE,Florida,College Stats,6-6,239,4.80,34.5,,128,7.01,4.00,Philadelphia Eagles / 7th / 240th pick / 2016
Jake McGee\McGeJa01,TE,Florida,College Stats,6-5,250,4.83,,17,,,,
Connor McGovern\McGoCo00,OG,Missouri,College Stats,6-4,306,5.11,33.0,33,109,7.50,4.65,Denver Broncos / 5th / 144th pick / 2016
Mekale McKay\McKaMe00,WR,Cincinnati,College Stats,6-4,207,4.55,35.0,12,123,7.08,4.63,
